name,par,href,summary,goals,prerequisites
asymptotics of maximum likelihood,Frequentist Statistics,https://metacademy.org/graphs/concepts/asymptotics_of_maximum_likelihood,"Under certain regularity conditions, the maximum likelihood estimator is consistent, i.e. it asymptotically approaches the true value. Its sampling distribution (when rescaled appropriately) approaches a normal distribution whose variance is determined by the Fisher information. Because of the Cramer-Rao bound, this is the best we can do. The asymptotic analysis is useful for constructing confidence intervals for parameter estimates.","Understand basic properties of maximum likelihood estimators:\nthey are consistent (they approach the correct value in the limit)\nasymptotically, their sampling distribution (rescaled appropriately) approaches a normal distribution whose variance is the inverse Fisher information\nthey are efficient (no unbiased estimator has smaller variance asymptotically). Note: for the multivariate version of the asymptotic normality result, you'll want to know about the Fisher information matrix .","maximum likelihood,Fisher information,Gaussian distribution"
automatic differentiation,Optimization,https://metacademy.org/graphs/concepts/automatic_differentiation,"Automatic differentiation is a method for computing partial derivatives or directional derivatives of a function, given a program which computes the function. It is based on the chain rule for derivatives, but shares computations between different entries of the result.","Be able to compute directional derivatives using forward accumulation. Be able to compute gradients using reverse accumulation. Why does reverse accumulation, but not forward accumulation, require storing the computation graph?","partial derivatives,Chain Rule"
autoregressive generative models,Uncategorized,https://metacademy.org/graphs/concepts/autoregressive_generative_models,"Autoregressive generative models implicitly define a distribution over sequences using the Chain Rule for Conditional Probability, whereby in each step the distribution of the next sequence element is predicted given the previous elements. The main autoregressive architectures are RNNs and causal conv nets. Important examples include PixelRNN, PixelCNN, and WaveNet.",Know how to train an autoregressive generative model with maximum likelihood.. Know how to generate samples from a trained autoregressive model.. Be familiar with both convolutional and RNN autoregressive architectures.. Understand what causal convolution is and why it's important.. Be able to reason about the tradeoffs of convolutional vs. recurrent autoregressive models.,"neural probabilistic language models,convolutional neural nets,recurrent neural networks"
AVL trees,Data Structures & Algorithms,https://metacademy.org/graphs/concepts/avl_trees,"AVL trees, named after their inventors, are a kind of binary search tree which automatically maintains balance in order to support efficient search, insertion, and deletion. This data structure is based on maintaining the invariant that the heights of the left and right subtrees of a given node can differ by at most 1.",Know what invariant is maintained by an AVL tree. Know what additional information must be stored in order to efficiently maintain the invariant. Know what the rotation operator refers to and why it preserves the ordering property. Be able to implement the insertion and deletion operations such that the invariant is maintained. Analyze the running times of insertion and deletion,binary search trees
Axiom of Choice,"Logic,Set Theory",https://metacademy.org/graphs/concepts/axiom_of_choice,"The Axiom of Choice states that for any set A of sets, there exists a choice function which picks a single element of each x in A. While intuitive, it has some surprising consequences, such as the Banach-Tarski Paradox. It is logically independent of the Zermelo-Frankl axioms, so one may choose whether or not to include it.","Know the statement of the Axiom of Choice. Be aware that it is controversial (e.g. because of the Banach-Tarski paradox), and it is often noted specifically when a theorem depends on it. Be aware that it is independent of the Zermelo-Frankl axioms",Zermelo-Frankl axioms
backpropagation,Machine Learning,https://metacademy.org/graphs/concepts/backpropagation,"Backpropagation is the standard algorithm for training supervised feed-forward neural nets. More precisely, it isn't actually a learning algorithm, but a way of computing the gradient of the loss function with respect to the network parameters. Mathematically, it's just an instance of the chain rule for derivatives, but it has an intuitive interpretation in terms of passing messages between the units.","Know what the computation graph represents, and be able to draw it for simple neural net architectures.. Be able to derive the backprop computations for a neural net architecture.. Be able to write the backprop computations in matrix form.","stochastic gradient descent,feed-forward neural nets,Chain Rule"
backpropagation for second-order methods,Machine Learning,https://metacademy.org/graphs/concepts/backpropagation_second_order,"Backpropagation is normally used to propagate first-order derivatives (gradients). However, it can also be used to propagate second-order derivatives, at least approximately.",,"backpropagation,matrix inverse"
bagging,Machine Learning,https://metacademy.org/graphs/concepts/bagging,Bagging is a technique for reducing the variance of a learning algorithm by averaging the predictions obtained from random resamplings of the training data. It can improve the performance of unstable algorithms such as decision trees.,Know what the bagging procedure is.. What is the motivation behind bagging? For what sorts of algorithms would you expect it to improve performance?,"decision trees,generalization"
bases,Linear Algebra,https://metacademy.org/graphs/concepts/bases,"A basis is a set of linearly independent vectors that define a coordinate system for a vector space, where the basis vectors span the entire vector space (meaning that any vector in this space can be represented as a linear combination of the basis vectors).","Know the definition of linearly independent vectors. Be able to determine if a set of vectors is linearly independent. Know the definition of a basis. Understand how bases can be used as coordinate systems. Show that all bases for a given space have the same number of elements (and hence, dimension is a well-defined concept). Know the definition of dimension",subspaces
basis function expansions,Machine Learning,https://metacademy.org/graphs/concepts/basis_function_expansions,"A basis function expansion augments/replaces the attributes of a dataset with transformations of these attributes. For instance, given an input attribute X, a basis function expansion could map this attribute to three features: 1, X, X^2---a ""polynomial basis."" This mapping allows various learning algorithms and statistical procedures to capture nonlinear trends in the data while still using linear models to analyze these transformed attributes. For instance, using the polynomial basis functions with linear regression allows linear regression to find polynomial (nonlinear) trends in the data; this is commonly called ""polynomial regression."" The process of selecting the particular mapping (basis functions) is typically referred to as ""feature engineering.""",,linear regression
Baum-Welch algorithm,"Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/baum_welch_algorithm,"The Baum-Welch algorithm is an algorithm for maximum likelihood learning in hidden Markov models (HMMs). It is a special case of expectation-maximization (EM), and alternates between inferring the posterior marginals and maximizing the expected log-likelihood given those posterior marginals.",Derive the Baum-Welch algorithm as a special case of EM.,"hidden Markov models,Expectation-Maximization algorithm,forward-backward algorithm"
Bayes Ball,Probabilistic Graphical Models,https://metacademy.org/graphs/concepts/bayes_ball,"D-separation gives a way of determining conditional independence properties of a Bayes net from the graphical representation, but unfortunately the definition itself doesn't give a practical algorithm. Bayes ball is an efficient algorithm for computing d-separation by passing simple messages between nodes of the graph. The name ""Bayes Ball"" stems from the idea of balls bouncing around a directed graph, where if a ball cannot bounce between two nodes then they are [conditionally] independent.","Memorize the ten Bayes' ball ""bouncing rules"" (noting symmetries makes this easy).. You should be able to prove the validity of the bouncing rules using the definition of conditional probability.. Understand how ""marking"" the nodes depending on the direction the ball is traveling when visiting the node leads to a linear-time algorithm for determining the [conditional] independencies in a Bayes net.",d-separation
Bayes net parameter learning,"Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/bayes_net_parameter_learning,"The parameters of a Bayes net can be estimated using maximum likelihood. In the most general parameterization, when the data are fully observed, the ML estimation problem decomposes into independent subproblems associated with each CPT.","Know how to determine the maximum likelihood estimate for the parameters in a Bayes net when all of the variables are fully observed.. In particular, understand why the problem decomposes into independent parameter learning subproblems associated with each CPT, and why the assumption of full observations is necessary.\nThe decomposition into independent terms isn't just used for maximum likelihood estimation -- it's the basis behind a number of other algorithms for learning Bayes nets.. How does the maximum likelihood solution change when parameters are shared between different CPTs?","maximum likelihood,Bayesian networks,optimization problems"
Bayes net structure learning,"Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/bayes_net_structure_learning,"If the structure of a Bayes net (in particular, the set of edges) is not known, we may wish to learn it from data. This requires trading off the degree of fit with the complexity of the network. The Bayesian score gives a simple and efficient way of evaluating Bayes net structures.","How are the requirements for structure learning different if your goal is knowledge discovery or density modeling?\nIn particular, if the goal is density modeling, why might you want a graph which is sparser than the true one?. Why isn't the maximum likelihood score appropriate for evaluating graph structures?. Be able to derive the Bayesian (marginal likelihood) score for evaluating Bayes nets.\nWhat assumptions about the prior are needed for the solution to have a convenient closed form?\nThe Bayesian score implicitly penalizes complex graphs. Why does this happen? (Hint: it's not the prior over graph structures, as you might expect!). Give an example where the graph is not identifiable, i.e. there are multiple graph structures which yield the same set of distributions.. Give an example where the graph structure is identifiable.","Bayesian estimation of Bayes net parameters,Bayesian model comparison,generalization,gamma function"
Bayes' rule,"Bayesian Statistics,Machine Learning,Probability Theory",https://metacademy.org/graphs/concepts/bayes_rule,"Bayes' rule is a formula for combining prior beliefs with observed evidence to obtain a ""posterior"" distribution. It is central to Bayesian statistics, where one infers a posterior over the parameters of a statistical model given the observed data.","Know the statement of Bayes' Rule. Be able to use it to combine prior information with evidence. Derive Bayes' Rule from the definition of conditional probability. Know terminology: prior, posterior. Be able to reason intuitively about Bayes' Rule in terms of odds ratios",conditional probability
Bayesian decision theory,Machine Learning,https://metacademy.org/graphs/concepts/bayesian_decision_theory,"When we use Bayesian parameter estimation techniques, often it's because we want to make a decision. In Bayesian decision theory, we make the choice which minimizes the expected loss under the posterior. When we compute a statistic like the mode or the mean of the predictive distribution, this can be interpreted as the decision theoretic solution under a particular loss function.",Know how the optimal decision is defined (in terms of minimizing expected loss with respect to the posterior). Derive the form of the estimator for some particular loss functions:\n0-1 loss\nquadratic loss\nabsolute loss,"Bayesian parameter estimation,loss function,expectation and variance"
Bayesian estimation of Bayes net parameters,"Bayesian Statistics,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/bayesian_estimation_bayes_net_params,Bayesian parameter estimation techniques can be applied to learning Bayes net parameters. This leads to more stable estimates in situations with limited data and can improve generalization performance.,"Derive the formulas for Bayesian estimation of Bayes net parameters, and for the predictive distribution over new data, in the simplest case where all variables are fully observed.. In particular, see why posterior inference and prediction can both decompose into independent problems associated with each CPT. What has to be true of the prior for the problem to decompose this way?. Be able to represent the Bayesian parameter estimation problem itself as a Bayes net, i.e. build a Bayes net where the parameters and data are represented as separate sets of variables. This ties together the problems of learning and inference.","Bayes net parameter learning,Bayesian parameter estimation"
Bayesian information criterion,Frequentist Statistics,https://metacademy.org/graphs/concepts/bayesian_information_criterion,"The Bayesian information criterion (BIC) is a rough approximation to the marginal likelihood, based on the asymptotic behavior of the Laplace approximation as more data is observed.",Know the formula for the BIC. Derive the formula in terms of the Laplace approximation,"Bayesian model comparison,Laplace approximation"
Bayesian linear regression,"Bayesian Statistics,Machine Learning",https://metacademy.org/graphs/concepts/bayesian_linear_regression,"By interpreting linear regression as a Bayesian model, we can automatically infer the prior variance and the noise variance, and make calibrated predictions. Bayesian linear regression is a useful component in fancier probabilistic models.","Know the form of the Bayesian linear regression model. Be familiar with visualizations of the prior, evidence, and posterior. Derive the predictive distribution. Be familiar with visualizations of the posterior distribution. Be able to infer the variance parameters (with the evidence approximation or a conjugate prior)","linear regression as maximum likelihood,Bayesian parameter estimation,Bayesian parameter estimation: multivariate Gaussians,computations on multivariate Gaussians"
Bayesian logistic regression,"Bayesian Statistics,Machine Learning",https://metacademy.org/graphs/concepts/bayesian_logistic_regression,A Bayesian version of logistic regression.,Know the form of the Bayesian logistic regression model. Be able to estimate the parameters of the model computationally (e.g. with the Laplace approximation or EP). Be able to approximate the predictive distribution computationally (e.g. with sampling or the probit approximation),"logistic regression,Bayesian parameter estimation,Bayesian linear regression,Laplace approximation,evidence approximation,Bayesian decision theory,probit regression"
Bayesian model averaging,"Bayesian Statistics,Machine Learning",https://metacademy.org/graphs/concepts/bayesian_model_averaging,"In model selection, we typically select a single ""best"" model from a set of candidate models (based upon some selection criteria, such as an AIC score) and then use this model for prediction. Instead of selecting a single ""best"" model and using it for prediction, Bayesian Model Averaging BMA uses a weighted average of each model's individual prediction for the final predicted value, where the weight is the posterior probability of the model given the data.",,Bayesian model comparison
Bayesian model comparison,"Bayesian Statistics,Machine Learning",https://metacademy.org/graphs/concepts/bayesian_model_comparison,"The framework of Bayesian model comparison evaluates probabilistic models based on the marginal likelihood, or the probability they assign a dataset with all the parameters marginalized out. The marginalization of model parameters implements a sort of ""Occam's razor"" effect. Marginal likelihoods can also be used to compute a posterior over model classes using Bayes' rule.","Know what the marginal likelihood of a model refers to. Motivate the marginal likelihood in terms of Bayes factors. Understand the basis for the ""Bayesian Occam's razor"" effect (hint: it's not primarily a result of assigning lower prior probability to models with more parameters, as many people believe). Derive the Bayes factor for a simple example (e.g. a beta-Bernoulli model)","Bayesian parameter estimation,Bayes rule"
Bayesian naive Bayes,"Bayesian Statistics,Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/bayesian_naive_bayes,A Bayesian version of naive Bayes in which we place a prior distribution on the latent class assignment parameter.,,"naive Bayes,Bayesian parameter estimation: multinomial distribution"
Bayesian networks,"Bayesian Statistics,Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/bayesian_networks,"Bayesian networks are a graphical formalism for representing the structure of a probabilistic model, i.e. the ways in which the random variables may depend on each other. Intuitively, they are good at representing domains with a causal structure, and the edges in the graph determine which variables directly influence which other variables. They can be equivalently viewed as representing a factorization structure of the joint probability distribution, or as encoding a set of conditional independence assumptions about the distribution.",,"random variables,conditional independence,Bayes rule"
Bayesian parameter estimation,"Bayesian Statistics,Machine Learning",https://metacademy.org/graphs/concepts/bayesian_parameter_estimation,"In the Bayesian framework, we treat the parameters of a statistical model as random variables. The model is specified by a prior distribution over the values of the variables, as well as an evidence model which determines how the parameters influence the observed data. When we condition on the observations, we get the posterior distribution over parameters. The term ``Bayesian parameter estimation'' is deceptive, because often we can skip the parameter estimation step entirely. Rather, we integrate out the parameters and directly make predictions about future observables.","Know what the terms ""prior"" and ""likelihood function"" refer to. Be able to compute the posterior distribution using Bayes' Rule. Know what the posterior predictive distribution is and how to compute it analytically for a simple example (e.g. a beta-Bernoulli model). What is a conjugate prior, and why is it useful?. Why can the posterior distribution be given in terms of pseudocounts when a conjugate prior is used?. What is the maximum a-posteriori (MAP) approximation? Give an example where the predictions differ between the MAP parameters and the posterior predictive distribution.","Bayes rule,multivariate distributions,conditional distributions,expectation and variance,beta distribution"
Bayesian parameter estimation in exponential families,"Bayesian Statistics,Machine Learning",https://metacademy.org/graphs/concepts/bayes_param_exp_fam,"Exponential families are convenient for Bayesian parameter estimation because the conjugate priors often have a convenient form, and there is a simple form for the posterior.","How do you derive the conjugate prior for an exponential family distribution?. Show that the posterior can be computed in terms of the sufficient statistics.. Work through a simple example, such as the beta-Bernoulli model.","exponential families,Bayesian parameter estimation"
Bayesian parameter estimation: Gaussian distribution,"Bayesian Statistics,Machine Learning",https://metacademy.org/graphs/concepts/bayesian_parameter_estimation_gaussian,"Using the Bayesian framework, we can infer the mean parameter of a Gaussian distribution, the scale parameter, or both. Since Gaussians are widely used in probabilistic modeling, the computations that go into this are common motifs in Bayesian machine learning more generally.","Derive the conjugate prior, the posterior distribution, and the posterior predictive distribution for a Gaussian distribution with unknown mean and known variance. Do the same for known mean and unknown variance. Do the same for unknown mean and unknown variance","Gaussian distribution,Bayesian parameter estimation,gamma distribution,Student-t distribution"
Bayesian parameter estimation: multinomial distribution,"Bayesian Statistics,Machine Learning",https://metacademy.org/graphs/concepts/bayesian_parameter_estimation_multinomial,"Suppose we observe a set of draws from a multinomial distribution with unknown parameters and we're trying to predict the distribution over subsequent draws. If we put a Dirichlet prior over the probabilities, we can analytically integrate out the parameters to get the posterior predictive distribution. This has a very simple form: adding fake counts and then normalizing. These ideas are used more generally in Bayesian models involving discrete variables.",Know how the Dirichlet distribution is defined and what the parameters represent. Know what the Dirichlet-multinomial model is. Derive the posterior distribution and posterior predictive distribution,"multinomial distribution,Bayesian parameter estimation"
Bayesian parameter estimation: multivariate Gaussians,"Bayesian Statistics,Machine Learning",https://metacademy.org/graphs/concepts/bayes_param_multivariate_gaussian,"Using the Bayesian framework, we can infer the posterior over the mean vector of a multivariate Gaussian, the covariance matrix, or both. Since multivariate Gaussians are widely used in probabilistic modeling, the computations that go into this are common motifs in Bayesian machine learning more generally.",Derive the conjugate prior and the posterior distribution for a multivariate Gaussian with unknown mean and known covariance. Do the same for known mean and unknown covariance. Do the same for unknown mean and unknown covariance,"information form for multivariate Gaussians,computations on multivariate Gaussians,Bayesian parameter estimation,Wishart distribution,Student-t distribution"
Bayesian PCA,Machine Learning,https://metacademy.org/graphs/concepts/bayesian_pca,"By formulating PCA as a Bayesian model, we can auotmatically choose a latent dimensionality by maximizing the (approximate) marginal likelihood of the model.",Know the definition of the Bayesian PCA model. How can it be used to select the dimension of the latent space?. Know of a way to approximate the marginal likelihood (e.g. the evidence approximation),"probabilistic PCA,Bayesian linear regression,evidence approximation,Bayesian parameter estimation: multivariate Gaussians,Laplace approximation"
Bellman equations,Reinforcement Learning,https://metacademy.org/graphs/concepts/bellman_equations,"The Bellman equations are a system of equations that provide a recursive definition of optimality associated with dynamic programming. Informally, the Bellman equations state that optimality is achieved by taking an optimal first action and recursively taking optimal subsequent actions.",,"optimization problems,functions of several variables"
Bellman-Ford algorithm,Data Structures & Algorithms,https://metacademy.org/graphs/concepts/bellman_ford_algorithm,"The Bellman-Ford algorithm is an algorithm for computing the shortest path between two points in a weighted graph. Unlike with Dijkstra's algorithm, the edge weights are allowed to be negative. On the down side, it has a larger running time, O(VE).",Know what the Bellman-Ford algorithm is. Prove the correctness of the algorithm. Analyze its running time. Know how Bellman-Ford can be used to detect negative cycles,graph representations
beta distribution,Probability Theory,https://metacademy.org/graphs/concepts/beta_distribution,The beta distribution is a probability distribution over the unit interval. It is most commonly used in Bayesian statistics as the conjugate prior for the Bernoulli distribution.,Know the PDF of the beta distribution. Be able to compute the expectation of a beta random variable. Express the uniform distribution as a special case of the beta distribution,"random variables,gamma function,expectation and variance"
beta process,"Bayesian Statistics,Machine Learning,Probability Theory",https://metacademy.org/graphs/concepts/beta_process,"The beta process is a random discrete measure that is completely described by a countably infinite set of atoms, where each atom has a finite mass determined from a stick-breaking process. Unlike the Dirichlet process, the weights of the atoms do not have to sum to one, but the masses must be between [0,1], and the marginals of the beta process are not beta distributed. The beta process can be used as a base measure for a Bernoulli process, i.e. to yield a stochastic process for binary random variables.",,"Dirichlet process,Indian buffet process"
BFGS,Optimization,https://metacademy.org/graphs/concepts/bfgs,"The Broyden-Fletcher-Goldfarb-Shanno (BFGS) algorithm is a quasi-Newton optimization method, and one of the most commonly used optimization algorithms in practice. It approximates the Newton updates by iteratively updating an approximation to the inverse Hessian matrix.","Know the steps of the BFGS algorithm. What is the curvature condition, and why must it be satisfied in order to obtain a valid udpate? Why might it not be satisfied without a careful line search?. What is the optimization problem used to derive the update to the inverse Hessian?. Why does this optimization problem use a weighted Frobenius norm rather than a Frobenius norm?. What is the computational complexity of a single iteration of the algorithm (not counting the cost of function and gradient evaluations)?","matrix norms,Newtons method (optimization),optimization problems"
bias-variance decomposition,"Frequentist Statistics,Machine Learning",https://metacademy.org/graphs/concepts/bias_variance_decomposition,"The bias-variance decomposition (often referred to as the bias-variance tradeoff) is a frequentist analysis of the generalization capability of an estimator, i.e. a learning algorithm.",,"linear regression,linear regression: closed-form solution,generalization"
binary linear classifiers,Machine Learning,https://metacademy.org/graphs/concepts/binary_linear_classifiers,"A linear classifier makes a classification decision for a given observation based on the value of a linear combination of the observation's features. In a ``binary'' linear classifier, the observation is classified into one of two possible classes using a linear boundary in the input feature space.",,linear regression
binary search,"Data Structures & Algorithms,Programming",https://metacademy.org/graphs/concepts/binary_search,Binary search is a logarithmic time algorithm for locating an element in a sorted array. It is an example of a divide-and-conquer algorithm.,Be able to implement binary search. Analyze the running time of binary search,"recursion (programming),asymptotic complexity"
binary search trees,"Data Structures & Algorithms,Programming",https://metacademy.org/graphs/concepts/binary_search_trees,"A binary search tree is a data structure which supports efficient search, insertion, and deletion operations. In particular, it is a binary tree where each left child is less than its parent, and each right child is greater than its parent. Search, insertion, and deletion can be done in logarithmic time, assuming the tree is somehow kept balanced.","Know what a binary search tree is and what invariant is maintained. Be able to implement the search operator. Be able to implement the naive versions of insertion and deletion (i.e. algorithms which don't attempt to maintain balance). Analyze the running times of search, insertion, and deletion in terms of the depth of the tree. Understand why maintaining balance is important for efficiency","recursion (programming),tree (data structure),binary search,asymptotic complexity"
binomial distribution,Probability Theory,https://metacademy.org/graphs/concepts/binomial_distribution,"The binomial distribution describes the number of successes in a fixed number of independent trials, each with the same success probability. When the number of trials is large, the distribution is approximately bell-shaped.",Know the PMF of the binomial distribution. Interpret the distribution in terms of i.i.d. Bernoulli random variables. Describe the shape of the distribution. Derive the expectation and variance of a binomial random variable,"random variables,independent events,expectation and variance"
Bloom filter,Data Structures & Algorithms,https://metacademy.org/graphs/concepts/bloom_filter,"A bloom filter is a space-efficient data structure for determining if a given item is in a set. It has a certain (small) probability of a false positive, but no chance of a false negative.","Be able to implement a bloom filter. Assuming good hash functions, analyze the probability of a false positive given the number of bits, the number of hash functions, and the number of objects","hash tables,probability,independent events"
Boltzmann machines,"Machine Learning,Probabilistic Graphical Models",https://metacademy.org/graphs/concepts/boltzmann_machines,"Boltzmann machines are a kind of probabilistic neural network used in density modeling. They can be viewed as an MRF with only pairwise connections between units, and where the units are typically binary-valued. Restricted Boltzmann machines (RBMs) are a widely used special case.",Know the definition of a Boltzmann machine (i.e. what distribution it represents). Be able to (approximately) sample from a Boltzmann machine using Gibbs sampling.. Derive the fact that the model correlations must match the data correlations at the maximum likelihood solution.. Why can it be beneficial to add hidden units to the network?. Be aware of the analogies between Boltzmann machine updates and Hopfield network updates.,"Gibbs sampling,maximum likelihood,gradient,Hopfield networks"
Boolean algebras,"Logic,Set Theory",https://metacademy.org/graphs/concepts/boolean_algebras,"Boolean algebras are a mathematical structure which shares the algebraic properties of propositional formulas. Canonical examples include propositional formulas and the power set of a set (with set union, intersection, and complement playing the roles of the propositional connectives). Boolean algebras are used in topology, model theory, and social choice theory.","Define a lattice. Define a Boolean algebra (as a complemented distributed lattice). Be able to prove simple facts about Boolean algebras. Show that the power set of a set, with the standard set operations, forms a Boolean algebra. Give an example of a Boolean algebra which is not a power set. Define an atom. Be aware of the principle of duality (that Boolean algebras are symmetric with respect to meet and join)","propositional logic,order relations,set operations,countable sets"
boosting as optimization,Machine Learning,https://metacademy.org/graphs/concepts/boosting_as_optimization,AdaBoost can be interpreted as a sequential procedure for minimizing the exponential loss on the training set with respect to the coefficients of a particular basis function expansion. This leads to generalizations of the algorithm to different loss functions.,"Derive AdaBoost as a sequential procedure to minimize the exponential loss on the training set.. Based on this analysis, why might AdaBoost be especially sensitive to mislabeled training examples?. Understand how the basic boosting procedure can be generalized to other loss function.s\nWhy do we often re-estimate the weights of the base classifiers for more general boosting algorithms, but not for AdaBoost?","AdaBoost,optimization problems,basis function expansions"
